id_evento,Estacion,Real_izq_der,Estimacion_izq_der,Real_distance,Estimacion_distance,Real_baz,Estimacion_baz,Distancia_Costa,costero,lat,lon
2015_01_14 21_57_48_M4_2,PB06,1.0,1.0,83.85064115,94.4319000244141,292.916982143083,294.675109863281,72.813,1.0,-22.4092,-70.322
2015_04_26 17_54_30_M4_7,CO02,1.0,1.0,153.061933,153.340118408203,220.2242439,222.708892822266,61.890,1.0,-32.2534,-72.0492
2015_06_07 03_09_27_M4_5,GO03,1.0,1.0,153.1997621,155.925796508789,241.3901679,230.01123046875,66.152,1.0,-28.2489,-71.6052
2015_07_22 00_04_16_M4_3,CO02,1.0,1.0,137.8956199,152.947662353516,218.5336344,220.428314208984,61.890,1.0,-32.1733,-71.9111
2015_07_25 00_50_06_M4_5,GO03,1.0,1.0,91.2752368,91.1124877929688,315.6282813,318.549530029297,66.152,1.0,-27.0034,-70.8778
2015_08_12 00_14_39_M5_5,CO02,1.0,1.0,75.35891428,88.6999206542969,222.670875,235.710372924805,61.890,1.0,-31.7023,-71.5391
2015_09_17 03_12_42_M5_2,CO03,1.0,1.0,55.74038455,61.5873222351074,260.3386301,262.933959960937,96.002,0.0,-30.922,-71.264
2015_09_17 16_08_35_M5_3,CO03,1.0,1.0,68.43034157,66.565185546875,264.9192615,278.884552001953,96.002,0.0,-30.8916,-71.402
2015_09_17 16_46_21_M4_8,CO03,1.0,1.0,131.7708957,146.878814697266,237.777871800001,246.282104492187,96.002,1.0,-31.4673,-71.8621
2015_09_19 06_27_11_M4_6,GO03,1.0,1.0,193.0958693,197.120727539063,225.2794312,224.075607299805,66.152,1.0,-28.8126,-71.6402
2015_09_23 23_52_33_M4_2,CO02,1.0,1.0,136.6027371,140.157531738281,241.6694394,238.037460327148,61.890,1.0,-31.7821,-72.2698
2015_09_24 07_56_10_M4_5,CO02,1.0,1.0,177.4100077,195.124908447266,297.137054,297.579437255859,61.890,1.0,-30.4633,-72.6443
